Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Upload,Total
AllTruckJobs - Full App (Experienced),5,2,0,13,7,7,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,26,46,101,0,0,0,0,0,214
AllTruckJobs - Full App (Student),1,0,0,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,0,0,0,0,0,39
AllTruckJobs - Job App (Experienced),0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,25
AllTruckJobs - Job App (Student),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,9
AllTruckJobs - Quick App (Experienced),2,1,1,16,9,7,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,49,116,1,0,0,0,0,226
AllTruckJobs - Quick App (Student),1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,14
JobsInTrucks.com,8,9,8,56,30,15,4,1,0,3,2,1,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,54,182,400,1,0,0,8,0,790
LACED_SR_Exp_Jobs2Careers_CareerHorizon_Intelliapp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_SR_Exp_Jobs2Careers_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LACED_SR_Exp_SimplyHired_CareerHorizon_SwiftLeadForm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_SR_Exp_TopUSAJobs_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LACED_SR_Generic_AllTruckJobs_Intelliapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_SR_Generic_AllTruckJobs_SwiftLeadForm,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
LACED_SR_Generic_AmericanDriverNetwork_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
LACED_SR_Generic_CDLJobs_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_SR_Generic_Craigslist_Intelliapp,6,1,0,4,8,4,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,19,13,31,0,0,0,0,0,106
LACED_SR_Generic_Craigslist_SwiftLeadForm,46,3,1,55,71,19,4,22,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,76,56,158,4,0,0,3,0,534
LACED_SR_Generic_FindTheRightJob_SwiftLeadForm,0,0,0,6,15,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,94,0,0,0,0,0,172
LACED_SR_Generic_HiringDriversNow_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_SR_Generic_HiringDriversNow_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
LACED_SR_Generic_Indeed_Intelliapp,2,0,0,1,3,3,2,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,12,0,0,0,0,0,52
LACED_SR_Generic_Indeed_SwiftLeadForm,8,2,1,15,29,7,2,8,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,34,28,58,0,0,0,1,0,207
LACED_SR_Generic_Jobs2Careers_Intelliapp,0,0,0,3,8,5,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19,13,12,0,0,0,1,0,74
LACED_SR_Generic_Jobs2Careers_SwiftLeadForm,4,4,1,24,44,9,5,9,3,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,46,55,138,5,0,0,2,0,359
LACED_SR_Generic_JobsInTrucks_Intelliapp,1,0,0,3,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,15
LACED_SR_Generic_JobsInTrucks_SwiftLeadForm,2,0,1,3,3,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,0,0,0,0,0,36
LACED_SR_Generic_LinkUp_Intelliapp,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,12
LACED_SR_Generic_LinkUp_SwiftLeadForm,0,0,0,12,12,5,0,0,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,13,14,1,0,0,1,0,75
LACED_SR_Generic_RandallReilly_BestDriverJobs_Intelliapp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
LACED_SR_Generic_RandallReilly_BestDriverJobs_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
LACED_SR_Generic_RandallReilly_CareersInGear_Intelliapp,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6
LACED_SR_Generic_RandallReilly_CareersInGear_SwiftLeadForm,0,1,0,4,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,22
LACED_SR_Generic_RandallReilly_HiringTruckDrivers_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
