"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App",2,5,2,18,23,13,3,1,1,1,1,2,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,44,99,221,1,0,0,4,0,449,
"AllTruckJobs - Job App",0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,68,2,96,0,0,2,4,0,184,
"AllTruckJobs - Quick App",6,4,3,17,29,9,6,1,0,0,1,0,1,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,27,76,203,2,0,1,2,0,399,
AmericanDriverNetwork,6,11,20,66,125,68,14,1,0,0,9,3,4,10,0,2,0,0,0,0,1,4,0,8,1,1,0,0,0,0,0,13,151,289,724,4,0,4,12,0,1551,
BestDriverJobs,10,12,8,60,83,51,13,1,0,1,3,2,7,4,0,2,1,0,0,0,1,2,0,4,0,0,0,0,0,0,0,15,144,200,429,6,0,5,17,0,1081,
BigRigJobs,2,6,3,17,13,5,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,49,63,138,2,0,0,3,0,314,
CareersInTrucks,0,1,1,1,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,7,20,0,0,1,2,0,57,
CDLCareerNow,10,2,2,48,101,14,15,23,13,1,1,0,4,4,0,2,2,1,0,0,0,1,0,2,1,0,0,0,0,0,0,6,172,117,436,3,0,0,2,0,983,
CDLJobsInc,2,1,1,12,17,6,3,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,41,70,3,0,1,2,0,206,
EveryTruckJob,1,1,4,3,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,23,24,55,0,0,0,4,0,129,
FindATruckerJob,1,0,0,1,13,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,16,10,46,0,0,0,0,0,96,
FindTheRightJob,16,1,2,35,115,18,2,28,5,1,2,1,1,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,81,97,417,5,0,0,3,0,837,
HireMaster,3,10,1,31,47,26,4,1,0,2,3,0,5,4,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,8,71,153,413,1,0,1,5,0,794,
HiringDriversNow,2,7,11,55,112,51,10,1,0,3,4,2,8,4,0,0,2,1,0,0,0,0,0,5,2,0,0,0,0,0,0,4,123,299,592,8,0,3,16,0,1325,
HiringTruckDrivers,1,13,4,30,29,12,1,1,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,55,75,170,1,0,0,6,0,415,
