Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
AllTruckJobs - Full App (Experienced),5,5,2,19,23,9,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,33,79,142,0,0,1,2,0,0,332
AllTruckJobs - Full App (Student),1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,27,0,0,1,0,0,0,68
AllTruckJobs - Job App (Experienced),0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,1,0,0,0,20
AllTruckJobs - Job App (Student),18,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,0,0,0,0,0,47
AllTruckJobs - Quick App (Experienced),2,2,1,14,11,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,19,63,138,0,0,2,0,0,0,266
AllTruckJobs - Quick App (Student),1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,20
AutoResp,3,14,67,37,514,319,222,535,353,14,21,43,201,141,12,60,10,5,0,0,1,28,0,48,23,14,0,4,0,11,1,225,506,374,286,10,0,14,2,1,0,4119
careersintrucks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cautionwideturns,0,0,0,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,19
classa,0,1,2,0,3,37,18,2,0,0,0,3,6,5,0,1,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,15,34,27,14,0,0,0,0,0,0,176
conceptservices1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,8
conceptservices2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,9
driverreferral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GoogleExpd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
intelliappconcept1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
JobsInTrucks.com,7,10,7,56,54,21,2,0,1,1,1,0,4,2,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,6,52,220,344,2,0,0,2,0,0,799
joinswift.com,4,4,23,14,75,66,58,135,118,2,4,13,51,51,3,15,2,3,0,0,0,7,0,11,4,3,1,2,0,6,0,75,204,132,145,5,0,3,0,0,0,1239
LACEDSwiftLeadFormDedicatedGenericLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
LACED_DedicatedW_Craigslist_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4
LACED_DedicatedW_Indeed_Intelliapp_WinterhavenFL_Apr2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,0,0,12
LACED_DedicatedW_Indeed_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5,7,2,0,0,1,0,0,31
LACED_DedicatedW_JobsInTrucks_Intelliapp_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LACED_DedicatedW_JobsInTrucks_SwiftLeadForm_BrundidgeAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DedicatedW_JobsInTrucks_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,10
LACED_DedicatedW_SimplyHired_Intelliapp_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4
LACED_DedicatedW_SimplyHired_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,10,0,0,0,0,0,0,23
LACED_DR_driveswiftteams.com_LeadForm,1,2,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,19
LACED_DR_Experienced_EmploymentNetwork_CareerHorizon_lp,6,10,1,12,27,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,21,37,2,0,0,0,0,0,135
