"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App",5,7,8,43,26,18,4,1,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,51,193,1,0,3,2,2,0,431,
"AllTruckJobs - Job App",0,0,3,3,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,24,0,0,0,0,0,0,65,
"AllTruckJobs - Quick App",8,4,8,30,10,9,3,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,23,52,193,1,0,1,3,3,0,361,
AmericanDriverNetwork,10,16,32,175,192,80,22,21,15,4,1,3,5,5,1,3,2,1,0,0,3,0,0,9,2,0,0,0,0,0,2,19,255,399,1075,4,0,4,16,1,0,2377,
BestDriverJobs,8,6,14,80,75,35,10,2,0,5,3,4,3,3,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,1,0,11,101,186,389,1,0,3,8,1,0,958,
BigRigJobs,0,1,2,26,12,11,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,26,41,148,0,0,1,4,2,0,282,
CareerBuilder,5,3,7,24,40,21,3,12,2,0,2,0,2,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,87,62,189,0,0,0,3,0,0,474,
CareersInTrucks,1,1,1,6,10,6,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,21,51,1,0,1,1,0,0,119,
CBJobsInMotion,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,1,0,0,0,0,0,25,
CDLCareerNow,18,6,17,144,177,42,18,27,12,3,3,4,6,1,0,6,0,1,0,0,6,0,0,0,1,1,0,0,0,5,0,8,255,306,873,11,0,4,3,5,0,1963,
CDLJobsInc,2,8,4,12,17,8,6,3,0,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,66,38,106,0,0,1,4,2,0,285,
