"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App (Experienced)",3,4,2,17,23,9,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,34,83,148,0,0,1,2,0,0,339,
"AllTruckJobs - Full App (Student)",1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,27,0,0,1,0,0,0,68,
"AllTruckJobs - Job App (Experienced)",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,0,0,1,0,0,0,21,
"AllTruckJobs - Job App (Student)",19,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0,0,0,0,0,0,48,
"AllTruckJobs - Quick App (Experienced)",1,4,1,13,11,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,19,64,140,0,0,2,0,0,0,269,
"AllTruckJobs - Quick App (Student)",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,20,
AutoResp,3,10,67,26,518,322,216,551,375,11,18,36,191,161,12,60,9,5,0,0,1,36,0,48,23,17,0,0,0,15,2,227,523,384,291,9,0,14,2,1,0,4184,
careersintrucks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
cautionwideturns,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,20,
classa,1,0,2,0,0,42,18,1,0,0,0,1,4,9,0,1,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,15,35,27,14,0,0,0,0,0,0,179,
conceptservices1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,8,
conceptservices2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,9,
driverreferral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
GoogleExpd,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
intelliappconcept1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,
JobsInTrucks.com,8,12,7,49,56,21,2,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,6,53,223,350,2,0,1,2,0,0,807,
joinswift.com,3,5,24,13,74,67,59,135,113,1,4,11,51,57,3,15,2,3,0,0,0,8,0,11,4,3,0,0,0,5,0,80,209,138,151,5,0,3,0,0,0,1257,
LACEDSwiftLeadFormDedicatedGenericLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,
LACED_DedicatedW_Craigslist_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,
LACED_DedicatedW_Indeed_Intelliapp_WinterhavenFL_Apr2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,0,0,12,
LACED_DedicatedW_Indeed_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5,7,2,0,0,1,0,0,31,
