"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
3Dclassa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
alltruckingjobs,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"AllTruckJobs - Full App (Experienced)",11,8,0,32,22,11,4,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,30,51,197,0,0,2,2,0,0,380,
"AllTruckJobs - Full App (Student)",4,2,5,1,15,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,12,38,1,0,1,0,0,0,105,
"AllTruckJobs - Job App (Experienced)",0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,24,0,0,0,0,0,0,60,
"AllTruckJobs - Job App (Student)",0,0,0,3,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,48,0,0,0,0,0,0,109,
"AllTruckJobs - Quick App (Experienced)",8,17,0,28,18,10,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,32,196,0,0,2,3,0,0,342,
"AllTruckJobs - Quick App (Student)",0,0,4,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,37,0,0,0,0,0,0,67,
AutoResp,11,23,62,70,681,466,221,790,438,0,18,0,87,225,184,7,70,6,7,0,0,11,39,0,47,17,8,0,0,0,0,0,271,616,462,409,15,0,5,3,29,0,5298,
"autoresp b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
careerbuilder_entrylevel,8,4,2,10,12,4,3,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,24,17,62,1,0,0,0,0,0,154,
careerbuilder_experienced,8,3,0,10,22,7,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,16,52,1,0,2,3,0,0,152,
careerbuilder_traineee,10,5,0,13,25,4,1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,28,79,1,0,0,0,0,0,191,
cautionwideturns,0,0,0,0,0,12,4,3,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,5,3,2,0,0,0,0,0,49,
cdlschool_40481,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
classa,0,2,2,0,0,49,9,0,1,0,0,0,2,3,11,0,0,0,0,0,0,0,3,0,5,3,1,0,0,0,0,0,14,38,19,52,5,0,2,0,0,0,221,
coastalcol_53481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,
gadrivingacademy_14664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
GoogleExpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,
intelliappconcept1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
